Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
unix  3      [ ]         SEQPACKET  CONNECTED     34103    
unix  96     [ ]         DGRAM      CONNECTED     13268    /dev/socket/logdw
unix  2      [ ]         DGRAM      CONNECTED     10669    
unix  2      [ ]         DGRAM      CONNECTED     67840    
unix  2      [ ]         DGRAM      CONNECTED     15777    
unix  2      [ ACC ]     SEQPACKET  LISTENING     13277    /dev/socket/lmkd
unix  3      [ ]         SEQPACKET  CONNECTED     60901    
unix  3      [ ]         SEQPACKET  CONNECTED     47309    
unix  3      [ ]         STREAM     CONNECTED     34835    
unix  3      [ ]         SEQPACKET  CONNECTED     32095    
unix  3      [ ]         SEQPACKET  CONNECTED     19057    
unix  2      [ ]         DGRAM      CONNECTED     56811    
unix  2      [ ]         DGRAM      CONNECTED     32421    
unix  3      [ ]         SEQPACKET  CONNECTED     33684    
unix  3      [ ]         STREAM     CONNECTED     67124    
unix  2      [ ]         DGRAM      CONNECTED     34040    
unix  2      [ ]         DGRAM      CONNECTED     9045     
unix  2      [ ]         DGRAM      CONNECTED     8872     
unix  3      [ ]         SEQPACKET  CONNECTED     65940    
unix  3      [ ]         SEQPACKET  CONNECTED     49376    
unix  3      [ ]         SEQPACKET  CONNECTED     49375    
unix  2      [ ]         DGRAM      CONNECTED     9148     
unix  3      [ ]         SEQPACKET  CONNECTED     48331    
unix  3      [ ]         SEQPACKET  CONNECTED     30293    
unix  3      [ ]         STREAM     CONNECTED     30291    
unix  2      [ ]         DGRAM      CONNECTED     33662    
unix  3      [ ]         STREAM     CONNECTED     34827    
unix  3      [ ]         STREAM     CONNECTED     33886    
unix  2      [ ]         DGRAM      CONNECTED     16209    
unix  2      [ ]         DGRAM      CONNECTED     58536    
unix  2      [ ]         DGRAM      CONNECTED     31891    
unix  3      [ ]         STREAM     CONNECTED     33070    
unix  2      [ ]         DGRAM      CONNECTED     9170     
unix  2      [ ]         DGRAM      CONNECTED     11248    
unix  2      [ ]         DGRAM      CONNECTED     60585    
